商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
大世科,8099.TW,4,2015/01/27,買進,23.15,2015/05/04,賣出,23.3,60,0.00041,最大持有 60 期
大成,1210.TW,1,2015/01/28,買進,27.4,2015/05/05,賣出,24.85,60,-0.098446,最大持有 60 期
喬山,1736.TW,10,2015/01/28,買進,73.5,2015/05/05,賣出,78.7,60,0.064422,最大持有 60 期
群光,2385.TW,2,2015/01/28,買進,89.2,2015/05/05,賣出,89.2,60,-0.005938,最大持有 60 期
盟立,2464.TW,8,2015/01/28,買進,29.1,2015/05/05,賣出,29.7,60,0.014514,最大持有 60 期
神基,3005.TW,5,2015/01/28,買進,19.2,2015/05/05,賣出,18.75,60,-0.029288,最大持有 60 期
國眾,5410.TW,9,2015/01/28,買進,12.6,2015/05/05,賣出,13.05,60,0.029497,最大持有 60 期
居易,6216.TW,7,2015/01/28,買進,26.3,2015/05/05,賣出,32.7,60,0.235939,最大持有 60 期
大成,1210.TW,2,2015/01/29,買進,28.15,2015/05/06,賣出,24.85,60,-0.122527,最大持有 60 期
喬山,1736.TW,11,2015/01/29,買進,76.2,2015/05/06,賣出,77.1,60,0.005804,最大持有 60 期
群光,2385.TW,3,2015/01/29,買進,90,2015/05/06,賣出,89.5,60,-0.01154,最大持有 60 期
盟立,2464.TW,9,2015/01/29,買進,29.15,2015/05/06,賣出,29.7,60,0.012727,最大持有 60 期
神基,3005.TW,6,2015/01/29,買進,19.2,2015/05/06,賣出,18.8,60,-0.02673,最大持有 60 期
台灣大,3045.TW,11,2015/01/29,買進,108,2015/05/06,賣出,109,60,0.003199,最大持有 60 期
崇越,5434.TW,8,2015/01/29,買進,56.8,2015/05/06,賣出,62.2,60,0.088538,最大持有 60 期
德昌,5511.TW,1,2015/01/29,買進,27.3,2015/05/06,賣出,28.15,60,0.024941,最大持有 60 期
豐藝,6189.TW,8,2015/01/29,買進,36.3,2015/05/06,賣出,38.75,60,0.061098,最大持有 60 期
居易,6216.TW,8,2015/01/29,買進,26.6,2015/05/06,賣出,32.25,60,0.205129,最大持有 60 期
宏正,6277.TW,3,2015/01/29,買進,84.4,2015/05/06,賣出,90.2,60,0.062275,最大持有 60 期
大成,1210.TW,3,2015/01/30,買進,28.3,2015/05/07,賣出,24.35,60,-0.144763,最大持有 60 期
喬山,1736.TW,12,2015/01/30,買進,78,2015/05/07,賣出,74.3,60,-0.0531,最大持有 60 期
皇翔,2545.TW,1,2015/01/30,買進,46.5,2015/05/07,賣出,43.55,60,-0.069113,最大持有 60 期
國眾,5410.TW,10,2015/01/30,買進,12.7,2015/05/07,賣出,13.05,60,0.021366,最大持有 60 期
崇越,5434.TW,9,2015/01/30,買進,57.3,2015/05/07,賣出,61.9,60,0.073785,最大持有 60 期
德昌,5511.TW,2,2015/01/30,買進,27.45,2015/05/07,賣出,27.9,60,0.010299,最大持有 60 期
宏正,6277.TW,4,2015/01/30,買進,83.5,2015/05/07,賣出,90.3,60,0.074943,最大持有 60 期
大成,1210.TW,4,2015/02/02,買進,28,2015/05/08,賣出,24.25,60,-0.13916,最大持有 60 期
喬山,1736.TW,13,2015/02/02,買進,80,2015/05/08,賣出,75.4,60,-0.063189,最大持有 60 期
神基,3005.TW,7,2015/02/02,買進,19.2,2015/05/08,賣出,19,60,-0.016369,最大持有 60 期
豐藝,6189.TW,9,2015/02/02,買進,36.35,2015/05/08,賣出,38.75,60,0.059694,最大持有 60 期
普萊德,6263.TW,8,2015/02/02,買進,47.3,2015/05/08,賣出,56.7,60,0.191535,最大持有 60 期
生達,1720.TW,3,2015/02/03,買進,37.5,2015/05/11,賣出,32.45,60,-0.139858,最大持有 60 期
