商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
大世科,8099.TW,11,2015/01/28,買進,22.8,2015/05/05,賣出,23.3,60,0.015827,最大持有 60 期
勤美,1532.TW,14,2015/01/29,買進,31.9,2015/05/06,賣出,31.2,60,-0.027794,最大持有 60 期
喬山,1736.TW,2,2015/01/29,買進,76.2,2015/05/06,賣出,77.1,60,0.005804,最大持有 60 期
盟立,2464.TW,14,2015/01/29,買進,29.15,2015/05/06,賣出,29.7,60,0.012727,最大持有 60 期
皇翔,2545.TW,14,2015/01/29,買進,45.8,2015/05/06,賣出,43.8,60,-0.049385,最大持有 60 期
華固,2548.TW,14,2015/01/29,買進,58.6,2015/05/06,賣出,70.5,60,0.195895,最大持有 60 期
神基,3005.TW,11,2015/01/29,買進,19.2,2015/05/06,賣出,18.8,60,-0.02673,最大持有 60 期
台灣大,3045.TW,18,2015/01/29,買進,108,2015/05/06,賣出,109,60,0.003199,最大持有 60 期
德昌,5511.TW,1,2015/01/29,買進,27.3,2015/05/06,賣出,28.15,60,0.024941,最大持有 60 期
普萊德,6263.TW,13,2015/01/29,買進,46.35,2015/05/06,賣出,62,60,0.329634,最大持有 60 期
宏正,6277.TW,8,2015/01/29,買進,84.4,2015/05/06,賣出,90.2,60,0.062275,最大持有 60 期
勤美,1532.TW,15,2015/01/30,買進,32.4,2015/05/07,賣出,31.5,60,-0.033648,最大持有 60 期
喬山,1736.TW,3,2015/01/30,買進,78,2015/05/07,賣出,74.3,60,-0.0531,最大持有 60 期
盟立,2464.TW,15,2015/01/30,買進,28.9,2015/05/07,賣出,29.8,60,0.024964,最大持有 60 期
皇翔,2545.TW,15,2015/01/30,買進,46.5,2015/05/07,賣出,43.55,60,-0.069113,最大持有 60 期
華固,2548.TW,15,2015/01/30,買進,60.8,2015/05/07,賣出,71.3,60,0.165509,最大持有 60 期
神基,3005.TW,12,2015/01/30,買進,19.1,2015/05/07,賣出,19,60,-0.01118,最大持有 60 期
台灣大,3045.TW,19,2015/01/30,買進,106.5,2015/05/07,賣出,109.5,60,0.021935,最大持有 60 期
德昌,5511.TW,2,2015/01/30,買進,27.45,2015/05/07,賣出,27.9,60,0.010299,最大持有 60 期
普萊德,6263.TW,14,2015/01/30,買進,46.9,2015/05/07,賣出,57.7,60,0.222938,最大持有 60 期
宏正,6277.TW,9,2015/01/30,買進,83.5,2015/05/07,賣出,90.3,60,0.074943,最大持有 60 期
勤美,1532.TW,16,2015/02/02,買進,31.9,2015/05/08,賣出,31.5,60,-0.018483,最大持有 60 期
中華化,1727.TW,7,2015/02/02,買進,18.9,2015/05/08,賣出,18.75,60,-0.013864,最大持有 60 期
喬山,1736.TW,4,2015/02/02,買進,80,2015/05/08,賣出,75.4,60,-0.063189,最大持有 60 期
盟立,2464.TW,16,2015/02/02,買進,28.8,2015/05/08,賣出,29.6,60,0.021604,最大持有 60 期
兆赫,2485.TW,1,2015/02/02,買進,31.85,2015/05/08,賣出,29.2,60,-0.088761,最大持有 60 期
皇翔,2545.TW,16,2015/02/02,買進,46,2015/05/08,賣出,43.7,60,-0.055735,最大持有 60 期
華固,2548.TW,16,2015/02/02,買進,58.1,2015/05/08,賣出,71.8,60,0.228345,最大持有 60 期
神基,3005.TW,13,2015/02/02,買進,19.2,2015/05/08,賣出,19,60,-0.016369,最大持有 60 期
台灣大,3045.TW,20,2015/02/02,買進,104,2015/05/08,賣出,108.5,60,0.037078,最大持有 60 期
同亨,5490.TW,14,2015/02/02,買進,57.4,2015/05/08,賣出,77.5,60,0.342085,最大持有 60 期
普萊德,6263.TW,15,2015/02/02,買進,47.3,2015/05/08,賣出,56.7,60,0.191535,最大持有 60 期
宏正,6277.TW,10,2015/02/02,買進,83.1,2015/05/08,賣出,88.9,60,0.063386,最大持有 60 期
勤美,1532.TW,17,2015/02/03,買進,31.6,2015/05/11,賣出,31,60,-0.024869,最大持有 60 期
中宇,1535.TW,3,2015/02/03,買進,68.4,2015/05/11,賣出,73.4,60,0.066652,最大持有 60 期
