商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
邁達特,6112.TW,2,2016/07/11,買進,28.6,2016/10/06,賣出,26.2,60,0.010388,最大持有 60 期
文曄,3036.TW,2,2016/07/12,買進,42.2,2016/10/07,賣出,43.7,60,0.159687,最大持有 60 期
亞泰,4974.TW,1,2016/07/12,買進,32.6,2016/10/07,賣出,33.15,60,0.101965,最大持有 60 期
豪勉,6218.TW,1,2016/07/12,買進,19.25,2016/10/07,賣出,18.6,60,0.002979,最大持有 60 期
新產,2850.TW,1,2016/07/13,買進,24.4,2016/10/11,賣出,24.1,60,0.052647,最大持有 60 期
矽格,6257.TW,2,2016/07/13,買進,24.2,2016/10/11,賣出,24.2,60,0.065132,最大持有 60 期
港建*,3093.TW,1,2016/07/15,買進,38.45,2016/10/13,賣出,31.7,60,-0.178845,最大持有 60 期
禾瑞亞,3556.TW,2,2016/07/15,買進,56.5,2016/10/13,賣出,51.5,60,0.008915,最大持有 60 期
世禾,3551.TW,1,2016/07/19,買進,36.6,2016/10/17,賣出,32.0,60,-0.076911,最大持有 60 期
遠雄,5522.TW,1,2016/07/26,買進,38.3,2016/10/24,賣出,35.9,60,0.028984,最大持有 60 期
智原,3035.TW,1,2016/07/28,買進,37.55,2016/10/26,賣出,31.5,60,-0.1129,最大持有 60 期
旺宏,2337.TW,2,2016/08/09,買進,4.44,2016/11/07,賣出,4.08,60,-0.0848,最大持有 60 期
卜蜂,1215.TW,2,2016/08/11,買進,38.6,2016/11/09,賣出,45.1,60,0.163769,最大持有 60 期
堡達,3537.TW,2,2016/08/11,買進,21.0,2016/11/09,賣出,20.85,60,-0.011149,最大持有 60 期
聖暉*,5536.TW,1,2016/08/11,買進,92.9,2016/11/09,賣出,87.3,60,0.001865,最大持有 60 期
群益證,6005.TW,1,2016/08/11,買進,8.37,2016/11/09,賣出,7.93,60,-0.056366,最大持有 60 期
競國,6108.TW,2,2016/08/11,買進,18.9,2016/11/09,賣出,22.0,60,0.1593,最大持有 60 期
逸昌,3567.TW,1,2016/08/12,買進,17.2,2016/11/10,賣出,21.4,60,0.239163,最大持有 60 期
伸興,1558.TW,1,2016/08/16,買進,154.0,2016/11/14,賣出,149.5,60,-0.033088,最大持有 60 期
